year	playoffs	teams	pct
1927	6	10	0.600
1928	6	10	0.600
1929	6	10	0.600
1930	6	10	0.600
1931	6	10	0.600
1932	6	8	0.750
1933	6	9	0.667
1934	6	9	0.667
1935	6	9	0.667
1936	6	8	0.750
1937	6	8	0.750
1938	6	8	0.750
1939	6	7	0.857
1940	6	7	0.857
1941	6	7	0.857
1942	6	7	0.857
1943	4	6	0.667
1944	4	6	0.667
1945	4	6	0.667
1946	4	6	0.667
1947	4	6	0.667
1948	4	6	0.667
1949	4	6	0.667
1950	4	6	0.667
1951	4	6	0.667
1952	4	6	0.667
1953	4	6	0.667
1954	4	6	0.667
1955	4	6	0.667
1956	4	6	0.667
1957	4	6	0.667
1958	4	6	0.667
1959	4	6	0.667
1960	4	6	0.667
1961	4	6	0.667
1962	4	6	0.667
1963	4	6	0.667
1964	4	6	0.667
1965	4	6	0.667
1966	4	6	0.667
1967	4	6	0.667
1968	8	12	0.667
1969	8	12	0.667
1970	8	12	0.667
1971	8	14	0.571
1972	8	14	0.571
1973	8	16	0.500
1974	8	16	0.500
1975	12	18	0.667
1976	12	18	0.667
1977	12	18	0.667
1978	12	18	0.667
1979	12	17	0.706
1980	16	21	0.762
1981	16	21	0.762
1982	16	21	0.762
1983	16	21	0.762
1984	16	21	0.762
1985	16	21	0.762
1986	16	21	0.762
1987	16	21	0.762
1988	16	21	0.762
1989	16	21	0.762
1990	16	21	0.762
1991	16	21	0.762
1992	16	22	0.727
1993	16	24	0.667
1994	16	26	0.615
1995	16	26	0.615
1996	16	26	0.615
1997	16	26	0.615
1998	16	26	0.615
1999	16	27	0.593
2000	16	28	0.571
2001	16	30	0.533
2002	16	30	0.533
2003	16	30	0.533
2004	16	30	0.533
2005	NA	NA	NA
2006	16	30	0.533
2007	16	30	0.533
2008	16	30	0.533
2009	16	30	0.533
2010	16	30	0.533
2011	16	30	0.533
2012	16	30	0.533
2013	16	30	0.533
2014	16	30	0.533
2015	16	30	0.533
2016	16	30	0.533
2017	16	30	0.533
2018	16	31	0.516
2019	16	31	0.516
2020	24	31	0.774
2021	16	31	0.516
2022	16	32	0.500
2023	16	32	0.500
